id	name	discount_policy	item_ids/product_tmpl_id	item_ids/product_id	item_ids/categ_id	item_ids/min_quantity	item_ids/applied_on	item_ids/base	item_ids/base_pricelist_id	item_ids/price_surcharge	item_ids/price_round	item_ids/price_min_margin	item_ids/price_max_margin	item_ids/date_start	item_ids/date_end	item_ids/compute_price	item_ids/fixed_price	item_ids/percent_price	item_ids/discount1	item_ids/discount2	item_ids/discount3	item_ids/price_discount
5	01 Corrispettivi Banco Top	without_discount	16419	15389		12	0_product_variant	list_price						2023-09-11 08:52:17		percentage		45.87				
5	01 Corrispettivi Banco Top	without_discount	16418	15388		12	0_product_variant	list_price						2023-09-11 08:49:08		percentage		45.91				
3	01 Corrispettivi Banco Top	without_discount	15518	14488		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		13.81				
5	01 Corrispettivi Banco Top	without_discount	15518	14488		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		13.81				
3	01 Corrispettivi Banco Top	without_discount	3266	2267		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		41.76				
5	01 Corrispettivi Banco Top	without_discount	3266	2267		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		41.76				
5	01 Corrispettivi Banco Top	without_discount	3843	2844		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		49.55				
3	01 Corrispettivi Banco Top	without_discount	3843	2844		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		49.55				
3	01 Corrispettivi Banco Top	without_discount	9527	8528		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		47.59				
5	01 Corrispettivi Banco Top	without_discount	9527	8528		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		47.59				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	3462	2463		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		42.57				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	3455	2456		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		42.57				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	1920	921		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		35.97				
3	01 Corrispettivi Banco Top	without_discount		3922		12	0_product_variant	list_price						2023-02-28 23:00:00		percentage		12.5				
3	01 Corrispettivi Banco Top	without_discount		6492		12	0_product_variant	list_price						2023-02-28 23:00:00		percentage		41.11				
3	01 Corrispettivi Banco Top	without_discount		3880		12	0_product_variant	list_price						2023-02-28 23:00:00		percentage		37.18				
3	01 Corrispettivi Banco Top	without_discount		3095		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		48.68				
3	01 Corrispettivi Banco Top	without_discount		3032		12	0_product_variant	list_price						2023-03-31 22:00:00		percentage		49.66				
3	01 Corrispettivi Banco Top	without_discount		2032		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		19.24				
3	01 Corrispettivi Banco Top	without_discount		4505		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		19.24				
3	01 Corrispettivi Banco Top	without_discount		8567		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		20.5				
3	01 Corrispettivi Banco Top	without_discount		8602		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		21.46				
3	01 Corrispettivi Banco Top	without_discount		8565		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		16.13				
3	01 Corrispettivi Banco Top	without_discount		8598		12	0_product_variant	list_price						2022-12-31 23:00:00		percentage		16.13		
		
